Tue Mar 24 17:30:04 2026    profiling_results/s3_inference_metadata_burst_run2.prof

         1119691 function calls (1094421 primitive calls) in 0.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5824    0.005    0.000    0.012    0.000 random.py:345(choice)
     1332    0.002    0.000    0.012    0.000 loaders.py:157(exists)
      301    0.000    0.000    0.012    0.000 awsrequest.py:612(__init__)
     8470    0.007    0.000    0.011    0.000 utilities.py:19(bytesize)
      210    0.001    0.000    0.011    0.000 transform.py:319(_transform_map)
       77    0.001    0.000    0.011    0.000 factory.py:172(_load_actions)
      525    0.002    0.000    0.011    0.000 message.py:495(items)
      112    0.001    0.000    0.011    0.000 auth.py:445(_inject_signature_to_request)
     6286    0.003    0.000    0.011    0.000 _policybase.py:319(header_fetch_parse)
     1290    0.011    0.000    0.011    0.000 {built-in method posix.listdir}
     2688    0.002    0.000    0.010    0.000 <frozen genericpath>:36(isfile)
      112    0.002    0.000    0.010    0.000 auth.py:301(canonical_headers)
    68468    0.010    0.000    0.010    0.000 useragent.py:153(<genexpr>)
26147/26002    0.010    0.000    0.010    0.000 {built-in method builtins.getattr}
     2476    0.002    0.000    0.010    0.000 <frozen _collections_abc>:808(get)
      181    0.001    0.000    0.010    0.000 responses.py:234(subdomain_based_buckets)
     2444    0.002    0.000    0.009    0.000 <frozen _collections_abc>:815(__contains__)
        1    0.000    0.000    0.009    0.009 config.py:70(dynamodb_resource)
     2481    0.004    0.000    0.008    0.000 inspect.py:2763(__init__)
     1923    0.001    0.000    0.008    0.000 <frozen _collections_abc>:897(__iter__)
     6286    0.004    0.000    0.008    0.000 _policybase.py:289(_sanitize_header)
    34158    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
       75    0.000    0.000    0.008    0.000 transform.py:165(inject_condition_expressions)
    14220    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
      111    0.000    0.000    0.008    0.000 responses.py:295(parse_bucket_name_from_url)
