Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run5.prof

         331749 function calls (322110 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.003    0.001 _compression.py:113(readall)
        8    0.000    0.000    0.003    0.000 preprocess.py:269(_encode_jpeg)
        8    0.000    0.000    0.003    0.000 Image.py:2476(save)
       23    0.000    0.000    0.003    0.000 base_backend.py:105(url_bases)
       52    0.000    0.000    0.003    0.000 transform.py:277(transform)
   668/52    0.000    0.000    0.003    0.000 transform.py:291(_transform_parameters)
        9    0.000    0.000    0.003    0.000 gzip.py:521(read)
   300/52    0.000    0.000    0.003    0.000 transform.py:300(_transform_structure)
     1232    0.001    0.000    0.003    0.000 __init__.py:384(__init__)
      101    0.000    0.000    0.003    0.000 <frozen _collections_abc>:979(update)
      559    0.001    0.000    0.003    0.000 model.py:765(get_shape_by_name)
        4    0.000    0.000    0.003    0.001 session.py:510(get_credentials)
     1006    0.001    0.000    0.003    0.000 <frozen os>:712(__getitem__)
       12    0.000    0.000    0.003    0.000 args.py:396(compute_s3_config)
      942    0.001    0.000    0.003    0.000 awsrequest.py:616(__setitem__)
        1    0.000    0.000    0.003    0.003 session.py:193(_create_credential_resolver)
        1    0.000    0.000    0.003    0.003 credentials.py:84(create_credential_resolver)
       12    0.000    0.000    0.003    0.000 configprovider.py:867(provide)
   582/18    0.001    0.000    0.002    0.000 copy.py:119(deepcopy)
6613/6599    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        5    0.000    0.000    0.002    0.000 response.py:282(handle_response_item)
       13    0.000    0.000    0.002    0.000 parsers.py:1084(_do_parse)
        8    0.000    0.000    0.002    0.000 dynamo_type.py:317(__init__)
     1196    0.001    0.000    0.002    0.000 random.py:345(choice)
        8    0.000    0.000    0.002    0.000 JpegImagePlugin.py:663(_save)
   231/47    0.000    0.000    0.002    0.000 parsers.py:343(_parse_shape)
       61    0.000    0.000    0.002    0.000 awsrequest.py:612(__init__)
