Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run4.prof

         331751 function calls (322112 primitive calls) in 0.319 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.003    0.000 responses.py:637(_enrich_response)
        6    0.000    0.000    0.003    0.001 httpsession.py:347(_get_pool_manager_kwargs)
        6    0.000    0.000    0.003    0.001 httpsession.py:361(_get_ssl_context)
        6    0.000    0.000    0.003    0.001 httpsession.py:113(create_urllib3_context)
   131/30    0.000    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.003    0.000 validate.py:208(validate)
      336    0.001    0.000    0.003    0.000 client.py:590(_create_api_method)
   377/23    0.000    0.000    0.003    0.000 validate.py:232(_validate)
       23    0.000    0.000    0.003    0.000 aws_headers.py:31(gen_amzn_requestid_long)
        4    0.000    0.000    0.003    0.001 client.py:244(_register_retries)
        4    0.000    0.000    0.003    0.001 client.py:267(_register_legacy_retries)
     1006    0.001    0.000    0.003    0.000 <frozen _collections_abc>:815(__contains__)
        8    0.000    0.000    0.003    0.000 factory.py:196(_load_attributes)
       23    0.000    0.000    0.003    0.000 base_backend.py:105(url_bases)
   369/23    0.000    0.000    0.003    0.000 validate.py:52(_on_passes_type_check)
        8    0.000    0.000    0.003    0.000 __init__.py:257(put_item)
        8    0.000    0.000    0.003    0.000 table.py:617(put_item)
       23    0.000    0.000    0.003    0.000 moto_random.py:25(get_random_string)
   115/23    0.000    0.000    0.003    0.000 validate.py:272(_validate_structure)
        4    0.000    0.000    0.003    0.001 gzip.py:335(read)
        2    0.000    0.000    0.003    0.001 responses.py:325(bucket_dispatch)
        4    0.000    0.000    0.003    0.001 _compression.py:113(readall)
        2    0.000    0.000    0.003    0.001 responses.py:344(bucket_response)
        6    0.000    0.000    0.003    0.000 ssl.py:430(__new__)
        8    0.000    0.000    0.003    0.000 preprocess.py:269(_encode_jpeg)
        8    0.000    0.000    0.003    0.000 Image.py:2476(save)
        9    0.000    0.000    0.003    0.000 gzip.py:521(read)
      559    0.001    0.000    0.003    0.000 model.py:765(get_shape_by_name)
       52    0.000    0.000    0.003    0.000 transform.py:277(transform)
      101    0.000    0.000    0.003    0.000 <frozen _collections_abc>:979(update)
